文字	面区点	水準	Unicode	UTF16
痣	1-65-60	第2水準	U+75E3	0x75E3
痞	1-65-61	第2水準	U+75DE	0x75DE
痾	1-65-62	第2水準	U+75FE	0x75FE
痿	1-65-63	第2水準	U+75FF	0x75FF
痼	1-65-64	第2水準	U+75FC	0x75FC
瘁	1-65-65	第2水準	U+7601	0x7601
痰	1-65-66	第2水準	U+75F0	0x75F0
痺	1-65-67	第2水準	U+75FA	0x75FA
痲	1-65-68	第2水準	U+75F2	0x75F2
痳	1-65-69	第2水準	U+75F3	0x75F3
瘋	1-65-70	第2水準	U+760B	0x760B
瘍	1-65-71	第2水準	U+760D	0x760D
瘉	1-65-72	第2水準	U+7609	0x7609
瘟	1-65-73	第2水準	U+761F	0x761F
瘧	1-65-74	第2水準	U+7627	0x7627
瘠	1-65-75	第2水準	U+7620	0x7620
瘡	1-65-76	第2水準	U+7621	0x7621
瘢	1-65-77	第2水準	U+7622	0x7622
瘤	1-65-78	第2水準	U+7624	0x7624
瘴	1-65-79	第2水準	U+7634	0x7634
瘰	1-65-80	第2水準	U+7630	0x7630
瘻	1-65-81	第2水準	U+763B	0x763B
癇	1-65-82	第2水準	U+7647	0x7647
癈	1-65-83	第2水準	U+7648	0x7648
癆	1-65-84	第2水準	U+7646	0x7646
癜	1-65-85	第2水準	U+765C	0x765C
癘	1-65-86	第2水準	U+7658	0x7658
癡	1-65-87	第2水準	U+7661	0x7661
癢	1-65-88	第2水準	U+7662	0x7662
癨	1-65-89	第2水準	U+7668	0x7668
癩	1-65-90	第2水準	U+7669	0x7669
癪	1-65-91	第2水準	U+766A	0x766A
癧	1-65-92	第2水準	U+7667	0x7667
癬	1-65-93	第2水準	U+766C	0x766C
癰	1-65-94	第2水準	U+7670	0x7670
癲	1-66-01	第2水準	U+7672	0x7672
癶	1-66-02	第2水準	U+7676	0x7676
癸	1-66-03	第2水準	U+7678	0x7678
發	1-66-04	第2水準	U+767C	0x767C
皀	1-66-05	第2水準	U+7680	0x7680
皃	1-66-06	第2水準	U+7683	0x7683
皈	1-66-07	第2水準	U+7688	0x7688
皋	1-66-08	第2水準	U+768B	0x768B
皎	1-66-09	第2水準	U+768E	0x768E
皖	1-66-10	第2水準	U+7696	0x7696
皓	1-66-11	第2水準	U+7693	0x7693
皙	1-66-12	第2水準	U+7699	0x7699
皚	1-66-13	第2水準	U+769A	0x769A
皰	1-66-14	第2水準	U+76B0	0x76B0
皴	1-66-15	第2水準	U+76B4	0x76B4
皸	1-66-16	第2水準	U+76B8	0x76B8
皹	1-66-17	第2水準	U+76B9	0x76B9
皺	1-66-18	第2水準	U+76BA	0x76BA
盂	1-66-19	第2水準	U+76C2	0x76C2
盍	1-66-20	第2水準	U+76CD	0x76CD
盖	1-66-21	第2水準	U+76D6	0x76D6
盒	1-66-22	第2水準	U+76D2	0x76D2
盞	1-66-23	第2水準	U+76DE	0x76DE
盡	1-66-24	第2水準	U+76E1	0x76E1
盥	1-66-25	第2水準	U+76E5	0x76E5
盧	1-66-26	第2水準	U+76E7	0x76E7
盪	1-66-27	第2水準	U+76EA	0x76EA
蘯	1-66-28	第2水準	U+862F	0x862F
盻	1-66-29	第2水準	U+76FB	0x76FB
眈	1-66-30	第2水準	U+7708	0x7708
眇	1-66-31	第2水準	U+7707	0x7707
眄	1-66-32	第2水準	U+7704	0x7704
眩	1-66-33	第2水準	U+7729	0x7729
眤	1-66-34	第2水準	U+7724	0x7724
眞	1-66-35	第2水準	U+771E	0x771E
眥	1-66-36	第2水準	U+7725	0x7725
眦	1-66-37	第2水準	U+7726	0x7726
眛	1-66-38	第2水準	U+771B	0x771B
眷	1-66-39	第2水準	U+7737	0x7737
眸	1-66-40	第2水準	U+7738	0x7738
睇	1-66-41	第2水準	U+7747	0x7747
睚	1-66-42	第2水準	U+775A	0x775A
睨	1-66-43	第2水準	U+7768	0x7768
睫	1-66-44	第2水準	U+776B	0x776B
睛	1-66-45	第2水準	U+775B	0x775B
睥	1-66-46	第2水準	U+7765	0x7765
睿	1-66-47	第2水準	U+777F	0x777F
睾	1-66-48	第2水準	U+777E	0x777E
睹	1-66-49	第2水準	U+7779	0x7779
瞎	1-66-50	第2水準	U+778E	0x778E
瞋	1-66-51	第2水準	U+778B	0x778B
瞑	1-66-52	第2水準	U+7791	0x7791
瞠	1-66-53	第2水準	U+77A0	0x77A0
瞞	1-66-54	第2水準	U+779E	0x779E
瞰	1-66-55	第2水準	U+77B0	0x77B0
瞶	1-66-56	第2水準	U+77B6	0x77B6
瞹	1-66-57	第2水準	U+77B9	0x77B9
瞿	1-66-58	第2水準	U+77BF	0x77BF
瞼	1-66-59	第2水準	U+77BC	0x77BC
瞽	1-66-60	第2水準	U+77BD	0x77BD
瞻	1-66-61	第2水準	U+77BB	0x77BB
矇	1-66-62	第2水準	U+77C7	0x77C7
矍	1-66-63	第2水準	U+77CD	0x77CD
矗	1-66-64	第2水準	U+77D7	0x77D7
矚	1-66-65	第2水準	U+77DA	0x77DA
矜	1-66-66	第2水準	U+77DC	0x77DC
矣	1-66-67	第2水準	U+77E3	0x77E3
矮	1-66-68	第2水準	U+77EE	0x77EE
矼	1-66-69	第2水準	U+77FC	0x77FC
砌	1-66-70	第2水準	U+780C	0x780C
砒	1-66-71	第2水準	U+7812	0x7812
礦	1-66-72	第2水準	U+7926	0x7926
砠	1-66-73	第2水準	U+7820	0x7820
礪	1-66-74	第2水準	U+792A	0x792A
硅	1-66-75	第2水準	U+7845	0x7845
碎	1-66-76	第2水準	U+788E	0x788E
硴	1-66-77	第2水準	U+7874	0x7874
碆	1-66-78	第2水準	U+7886	0x7886
硼	1-66-79	第2水準	U+787C	0x787C
碚	1-66-80	第2水準	U+789A	0x789A
碌	1-66-81	第2水準	U+788C	0x788C
碣	1-66-82	第2水準	U+78A3	0x78A3
碵	1-66-83	第2水準	U+78B5	0x78B5
碪	1-66-84	第2水準	U+78AA	0x78AA
碯	1-66-85	第2水準	U+78AF	0x78AF
磑	1-66-86	第2水準	U+78D1	0x78D1
磆	1-66-87	第2水準	U+78C6	0x78C6
磋	1-66-88	第2水準	U+78CB	0x78CB
磔	1-66-89	第2水準	U+78D4	0x78D4
碾	1-66-90	第2水準	U+78BE	0x78BE
碼	1-66-91	第2水準	U+78BC	0x78BC
磅	1-66-92	第2水準	U+78C5	0x78C5
磊	1-66-93	第2水準	U+78CA	0x78CA
磬	1-66-94	第2水準	U+78EC	0x78EC
磧	1-67-01	第2水準	U+78E7	0x78E7
磚	1-67-02	第2水準	U+78DA	0x78DA
磽	1-67-03	第2水準	U+78FD	0x78FD
磴	1-67-04	第2水準	U+78F4	0x78F4
礇	1-67-05	第2水準	U+7907	0x7907
礒	1-67-06	第2水準	U+7912	0x7912
礑	1-67-07	第2水準	U+7911	0x7911
礙	1-67-08	第2水準	U+7919	0x7919
礬	1-67-09	第2水準	U+792C	0x792C
礫	1-67-10	第2水準	U+792B	0x792B
祀	1-67-11	第2水準	U+7940	0x7940
祠	1-67-12	第2水準	U+7960	0x7960
祗	1-67-13	第2水準	U+7957	0x7957
祟	1-67-14	第2水準	U+795F	0x795F
祚	1-67-15	第2水準	U+795A	0x795A
祕	1-67-16	第2水準	U+7955	0x7955
祓	1-67-17	第2水準	U+7953	0x7953
祺	1-67-18	第2水準	U+797A	0x797A
祿	1-67-19	第2水準	U+797F	0x797F
禊	1-67-20	第2水準	U+798A	0x798A
禝	1-67-21	第2水準	U+799D	0x799D
禧	1-67-22	第2水準	U+79A7	0x79A7
齋	1-67-23	第2水準	U+9F4B	0x9F4B
禪	1-67-24	第2水準	U+79AA	0x79AA
禮	1-67-25	第2水準	U+79AE	0x79AE
禳	1-67-26	第2水準	U+79B3	0x79B3
禹	1-67-27	第2水準	U+79B9	0x79B9
禺	1-67-28	第2水準	U+79BA	0x79BA
秉	1-67-29	第2水準	U+79C9	0x79C9
秕	1-67-30	第2水準	U+79D5	0x79D5
秧	1-67-31	第2水準	U+79E7	0x79E7
秬	1-67-32	第2水準	U+79EC	0x79EC
秡	1-67-33	第2水準	U+79E1	0x79E1
秣	1-67-34	第2水準	U+79E3	0x79E3
稈	1-67-35	第2水準	U+7A08	0x7A08
稍	1-67-36	第2水準	U+7A0D	0x7A0D
