文字	面区点	水準	Unicode	UTF16
瞤	2-82-17	第4水準	U+77A4	0x77A4
瞩	2-82-18	第4水準	U+77A9	0x77A9
矞	2-82-19	第4水準	U+77DE	0x77DE
矟	2-82-20	第4水準	U+77DF	0x77DF
矤	2-82-21	第4水準	U+77E4	0x77E4
矦	2-82-22	第4水準	U+77E6	0x77E6
矪	2-82-23	第4水準	U+77EA	0x77EA
矬	2-82-24	第4水準	U+77EC	0x77EC
䂓	2-82-25	第4水準	U+4093	0x4093
矰	2-82-26	第4水準	U+77F0	0x77F0
矴	2-82-27	第4水準	U+77F4	0x77F4
矻	2-82-28	第4水準	U+77FB	0x77FB
𥐮	2-82-29	第4水準	U+2542E	0xD855 0xDC2E
砅	2-82-30	第4水準	U+7805	0x7805
砆	2-82-31	第4水準	U+7806	0x7806
砉	2-82-32	第4水準	U+7809	0x7809
砍	2-82-33	第4水準	U+780D	0x780D
砙	2-82-34	第4水準	U+7819	0x7819
砡	2-82-35	第4水準	U+7821	0x7821
砬	2-82-36	第4水準	U+782C	0x782C
硇	2-82-37	第4水準	U+7847	0x7847
硤	2-82-38	第4水準	U+7864	0x7864
硪	2-82-39	第4水準	U+786A	0x786A
𥓙	2-82-40	第4水準	U+254D9	0xD855 0xDCD9
碊	2-82-41	第4水準	U+788A	0x788A
碔	2-82-42	第4水準	U+7894	0x7894
碤	2-82-43	第4水準	U+78A4	0x78A4
碝	2-82-44	第4水準	U+789D	0x789D
碞	2-82-45	第4水準	U+789E	0x789E
碟	2-82-46	第4水準	U+789F	0x789F
碻	2-82-47	第4水準	U+78BB	0x78BB
磈	2-82-48	第4水準	U+78C8	0x78C8
磌	2-82-49	第4水準	U+78CC	0x78CC
磎	2-82-50	第4水準	U+78CE	0x78CE
磕	2-82-51	第4水準	U+78D5	0x78D5
磠	2-82-52	第4水準	U+78E0	0x78E0
磡	2-82-53	第4水準	U+78E1	0x78E1
磦	2-82-54	第4水準	U+78E6	0x78E6
磹	2-82-55	第4水準	U+78F9	0x78F9
磺	2-82-56	第4水準	U+78FA	0x78FA
磻	2-82-57	第4水準	U+78FB	0x78FB
磾	2-82-58	第4水準	U+78FE	0x78FE
𥖧	2-82-59	第4水準	U+255A7	0xD855 0xDDA7
礐	2-82-60	第4水準	U+7910	0x7910
礛	2-82-61	第4水準	U+791B	0x791B
礰	2-82-62	第4水準	U+7930	0x7930
礥	2-82-63	第4水準	U+7925	0x7925
礻	2-82-64	第4水準	U+793B	0x793B
祊	2-82-65	第4水準	U+794A	0x794A
祘	2-82-66	第4水準	U+7958	0x7958
祛	2-82-67	第4水準	U+795B	0x795B
䄅	2-82-68	第4水準	U+4105	0x4105
祧	2-82-69	第4水準	U+7967	0x7967
祲	2-82-70	第4水準	U+7972	0x7972
禔	2-82-71	第4水準	U+7994	0x7994
禕	2-82-72	第4水準	U+7995	0x7995
禖	2-82-73	第4水準	U+7996	0x7996
禛	2-82-74	第4水準	U+799B	0x799B
禡	2-82-75	第4水準	U+79A1	0x79A1
禩	2-82-76	第4水準	U+79A9	0x79A9
禴	2-82-77	第4水準	U+79B4	0x79B4
离	2-82-78	第4水準	U+79BB	0x79BB
秂	2-82-79	第4水準	U+79C2	0x79C2
秇	2-82-80	第4水準	U+79C7	0x79C7
秌	2-82-81	第4水準	U+79CC	0x79CC
